ContractCode,ShortName,CallOrPut,cop,ExerciseDate,TradingDate,DeltaDays,t,o,s,k,r,iv
510300P2106A04400,300ETF沽6月4343A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0007,5.295,4.343,0.015,0.34539408754649625
510300C2106M06250,XD300ETF购6月6250,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0018,5.295,6.25,0.015,0.32184750073080504
510300C2106A04800,300ETF购6月4737A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.56,5.295,4.737,0.015,0.05032247447777559
510300C2109M05000,300ETF购9月5000,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.405,5.295,5.0,0.015,0.1858989327939566
510300P2109M06500,300ETF沽9月6500,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,1.2397,5.295,6.5,0.015,0.3188190988569414
510300C2109M04700,300ETF购9月4700,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.6344,5.295,4.7,0.015,0.16592809711242973
510300C2109M04800,300ETF购9月4800,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.5464,5.295,4.8,0.015,0.16589150230040386
510300P2109M06000,300ETF沽9月6000,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.7658,5.295,6.0,0.015,0.25857856094216225
510300C2106M06500,XD300ETF购6月6500,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.001,5.295,6.5,0.015,0.35980342432010903
510300C2109M06000,300ETF购9月6000,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.0568,5.295,6.0,0.015,0.22001520089129603
510300P2106M04900,XD300ETF沽6月4900,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0049,5.295,4.9,0.015,0.20728860279899475
510300C2106A04900,300ETF购6月4836A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.4628,5.295,4.836,0.015,0.12476113128584679
510300P2106A05500,300ETF沽6月5428A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.1787,5.295,5.428,0.015,0.20830970527092912
